,Image,Unique CVE-bin-tool vuls for Docker Scout,Unique CVE-bin-tool vuls for Docker Scout SBOM,Unique CVE-bin-tool vuls for Grype,Unique CVE-bin-tool vuls for Grype SBOM,Unique CVE-bin-tool vuls for Snyk,Unique CVE-bin-tool vuls for Trivy,Unique CVE-bin-tool vuls for Trivy SBOM
0,ecamp3travis_ecamp3-db-backup-restore:ddf84f5fa29b3a93ae3d71afb6fc15e5220d4b84,0,0,0,0,0,0,0
1,webhookrelay_webhookrelayd-arm:1.34.0,19,19,1,1,19,19,19
2,jrrs1_frontend-labon:1.0.1,5,5,5,5,5,5,5
3,tensorflow_tensorflow:nightly,85,85,86,86,87,87,85
4,resd_backend:30,75,75,75,75,75,75,75
5,httptoolkit_testserver:sha-710117c,12,12,12,12,13,12,12
6,itbuildgroup_authproxy:13384,0,0,0,0,0,0,0
7,atsproducts_ats.bus.dataservice-linux-x64-dev:3.3.23342.1-1,77,77,70,70,91,70,84
8,vulhub_adminer:4.7.8,79,79,70,70,72,72,86
9,karljohns0n_nginx-more:php-8.2-nodejs,362,362,245,245,363,363,362
10,hubimage_knative-eventing-appender:v0.24.4,0,0,0,0,0,0,0
11,softradixad_itin-frontend:2025-04-16-11-59-13,4,4,4,4,5,4,4
12,pheblar_flask_python_currency-weather_app:8149f6b91098ab20986e2f92e83d4606232d3bdd,3,3,16,16,16,3,3
13,genedna_mega:mono-ui-0.1-pre-release,5,5,5,5,5,5,5
14,free5gc_smf:v3.4.0,11,11,7,7,35,12,12
15,swissnils_lids-inventsys-bridge:1.0.100-1743761501,2,2,1,1,2,1,1
16,stinobytes_pihole-unbound:sha-c71cec5,62,62,60,60,62,62,62
17,dockerhubaneo_armonik_pollingagent:0.33.0-SNAPSHOT.53.edf2da3a,0,0,0,0,0,0,0
18,devdisplayprobspl_auto_model_generator_frontend:1.0,6,6,5,5,25,6,9
19,vutiendat3601_echovibe-product:20250502.104410,2,2,2,2,2,2,2
20,hexlo_terraria-server-docker-arm64:1.4.2.3,133,133,109,109,109,109,122
21,consul:1.15.4,24,24,8,8,37,24,24
22,findnfund_fnf-service-api:v0.1.0,91,91,84,84,109,84,101
23,mateuszskowron21_metrics-exporter:v1.0,11,11,12,12,13,11,11
24,vulhub_aria2:1.18.8,276,276,193,193,193,231,251
25,altinityinfra_kerberos-kdc:1-69fee87ecd9bd26eef79aee8327eb5d1607acd91,83,83,82,82,60,83,83
26,jonchang_tact:sha-9ddc20a,2,2,2,2,3,3,3
27,httpd:2.4.62,17,17,17,17,17,17,18
28,vulhub_celery:3.1.23,324,324,193,193,244,273,301
29,snilsumelis_hello-world-for-argocd:eb3214e,19,19,19,19,19,19,19
30,kolla_prometheus-base:2023.2-ubuntu-jammy,88,88,87,87,88,88,88
31,tokiw_olm:be0.1,0,0,0,0,0,0,0
32,mariadb:11,39,39,41,41,84,40,40
33,jfcoz_blog:sha-b4a1160,1,1,1,1,1,1,1
34,dockerinfratest_push-exporter:f541772c-ad8b-4e2f-9cc6-e918d9cf0cb2,0,0,0,0,0,0,0
35,azharshaikh662_hello-app:01,7,7,8,8,9,7,7
36,inzamamtahir_kamal_test:61c8acb1f518e8b5e7302e82a1bc5b1e5869519a,61,61,60,60,61,61,62
37,vulhub_git:2.12.2-with-openssh,221,221,111,111,109,105,189
38,busybox:1.37,0,0,0,0,0,0,0
39,registry:2,7,7,14,7,14,8,8
40,mongpranit_ebusinesscard:02052025-01,5,5,5,5,5,5,5
41,hexlo_terraria-tmodloader-server:0.1.0.0,123,123,123,123,123,123,167
42,noiro_aci-containers-controller:6.0.4.4.81c2369.041725.10566,0,0,0,0,0,0,0
43,rabbitmq:4,35,35,35,35,37,37,35
44,seworkshop_kafka-test:1.509,132,132,117,117,132,132,132
45,saiprasadkrishnamurthy_reconciliation-service:0.1-SNAPSHOT,16,16,6,6,40,16,25
46,ubuntu:25.04,34,34,34,34,34,34,34
47,altinityinfra_test-base:1-16ee9e1c01224ee0167d4bd010a7f2cf451b74b4-aarch64,2518,2518,2525,2524,2529,2529,2518
48,memcached:1.6.32,0,0,0,0,0,0,0
49,kenoalords_velvyapp:7f9db3441e7b55726f890bc6cfc079ef2d444ec2,10,10,10,10,10,10,10
50,vulhub_bash:4.3.0-with-httpd,231,231,155,155,155,196,204
51,redis:7.4,7,7,9,9,52,8,8
52,atareao_expertos:v0.1.0,2,2,2,2,2,2,2
53,kolejka_satori:judge,71,71,71,71,71,71,71
54,vulhub_activemq:5.17.3,101,101,84,84,85,85,107
55,cy01_blackhole:v0.5.1,0,0,0,0,0,0,0
56,ppcelery_one-api:arm64-1ab9593,35,35,35,35,37,35,36
57,hhdev_php:8.2-apache,1,1,1,1,1,1,2
58,ltgc_gel:opensuse,0,0,0,0,0,0,0
59,free5gc_ueransim:v3.3.0,4,4,4,4,4,4,8
60,lab7aisupport_lab7ai-backend:a94a3be532b0ed59899309cb0f0d1550c4d91d8d,2,2,2,2,2,2,2
61,free5gc_n3iwue:v3.4.3,0,0,0,0,2,0,0
62,innosabi_node:20-alpine,5,5,5,5,5,5,5
63,khoubaib85_association-back:63,5,5,5,5,5,5,5
64,altinityinfra_dotnet-client:0-d130ef35e3a9fd08482ceb21df71d53828458ae7-aarch64,220,220,148,148,146,141,167
65,diodonfrost_ansible-almalinux:9,336,336,219,219,338,338,336
66,razz1k_itkovrochistapp-staging:09d52ab3f2cd4308ccbc2d165d4d0916e69be0f4,64,64,60,60,65,65,66
67,silentmecha_wine:unstable,49,49,49,49,49,49,74
68,node:23,100,100,96,96,96,96,102
69,ycstech_kube-controller-manager:v1.32.4,0,0,0,0,0,0,0
70,alpine:3.20,4,4,4,4,4,4,4
71,centos:centos7,751,753,417,417,416,415,415
72,maksim1111_loook-api:20250502-e3a179a,4,4,4,4,4,4,4
73,postgres:16.6,5,5,7,7,50,6,6
74,21120414_ecommerce-backend:4518babaa7996ea4d6286497881e6d294a069d89,1,1,1,1,1,1,1
75,amooati_paback-django:amd64-latest,5,5,5,5,5,5,5
76,stbotog_dexchart-referral:d9ec38818b7e8b1d1c35cb0f6d7e293d091bb690,0,0,0,0,0,0,0
77,vlulukyan_autograde:3dce58b,0,0,0,0,0,0,0
78,icoy_kube-combo-base:v0.0.7-amd64,0,0,0,0,0,0,0
79,tomasgorsd_sqm-repo-images:atl-services-image,40,40,49,49,55,40,41
80,torizon_qt6-wayland-imx8:4-rc,43,43,37,37,59,37,48
81,upswot_upswot.api:6.0.2.0,43,43,40,40,40,40,46
82,rezcarbon_memorycortex:1.1.9-fixed,82,82,87,87,92,82,87
83,nathstevo97_ckan:302234cc4b597c3b0c8aa35e443f0a35f24cf169,131,131,127,127,129,128,138
84,realsoft2023_backend-dev-design:10042025,1017,1017,1025,1025,1070,990,1005
85,hdang09_cfms-fe:v1,3,3,3,3,3,3,3
86,joehorn_phpunit:12-php8.3,2,2,2,2,2,2,2
87,vulhub_cacti:1.2.22,90,90,77,77,79,79,131
88,elsamhaa_alpine:1,0,0,0,0,0,0,0
89,adminff_sms-service-bot:develop-1722,3,3,2,2,3,2,3
90,vimeo_psalm-github-actions:4.9.1,45,45,17,17,78,45,46
91,guigeng_sing-box:v1.12.0-alpha.2,0,0,0,0,0,0,0
92,passimx_chats-frontend:0.0.1,6,6,6,6,6,6,6
93,jarebear_hbni-audio-archive:2025.03.23.13,122,122,120,120,120,115,126
94,vulhub_appweb:7.0.1,339,339,223,223,223,294,310
95,thooper91_draw-steel-api:5eb72736fba6d5f37ef951b54e553066cd93534f,5,5,5,5,6,5,6
96,free5gc_udr:v3.4.2,6,6,4,4,8,6,6
97,louisroyer_dev-free5gc-smf:bookworm-2025-03-07-67367cb-slim,0,0,0,0,0,0,0
98,solvworld_web-app:1.0,161,161,148,148,160,150,168
99,breuner_elbencho:master-ubuntu1804,132,132,117,117,125,132,132
100,vulhub_apisix:2.9,751,753,417,417,416,415,415
101,socrata_java-focal:17,88,88,88,88,88,88,89
102,woosungchoi_fpm-alpine:7.4-arm64,23,23,16,16,23,23,25
103,frostfree_kittygram_backend:v0.1,89,89,144,144,150,83,95
104,yuvadius_cannon:102788d9,1,1,1,1,2,1,2
105,php:8.2,3,3,3,3,3,3,3
106,besscroft_picimpact:v2.0.2,13,13,13,13,13,13,13
107,debian:12,0,0,0,0,0,0,0
108,zbio_roostgpt-cli:34dd3d967d5100c4b34add731408d728e48dab5c,4,4,4,4,4,4,4
109,vulhub_cups-browsed:2.0.1,105,105,94,94,94,94,116
110,scmdtdevapp_rm-fe:v1,5,5,5,5,5,5,5
111,bunkerity_bunkerweb-scheduler:1.6.0-rc2,2,2,1,1,2,1,1
112,adysis_vector:v1.0.1,5,5,5,5,5,5,5
113,enmanuelmoreira_docker-ansible-debian:12-arm64,40,40,40,40,54,40,42
114,ikonde_care_tracker_backend:f438c1aeafb4545b8b76cf473faa62e9996dccb4,92,92,93,93,104,88,93
115,phatluu313_el-fe:0ebef20b,471,471,343,343,341,332,393
116,devradyalabs_raconn.webapp:0.2.0-staging.0,21,21,21,21,30,22,22
117,myonara_webmud3:unitopia,20,20,21,21,24,20,23
118,ngshiheng_cafireshistorydb:20250413,107,107,96,96,104,100,124
119,1maa_erlang:21-alpine,13,13,9,9,29,13,23
120,domboeckli_sdjpa-hibernate-dao:0.0.1_feature_fix_h2_console-SNAPSHOT,36,36,6,6,36,36,36
121,python:3.13,101,101,97,97,97,97,103
122,nginx:1.27,58,58,55,55,55,55,62
123,influxdb:1.11.8,42,42,41,41,41,41,41
124,amerinoo_crosstrain_aio:2.1.4,5,5,5,5,5,5,5
125,wiramin_dmsfe:80,4,4,4,4,4,4,4
126,oneelectronicbilling_etax_webportal_uat_v2:uat-1.9.280,12,12,7,7,35,12,18
127,mongo:8.0,39,39,41,41,84,40,40
128,vuepay_prod:1.0,157,157,185,185,208,157,157
129,ycstech_kube-proxy-s390x:v1.33.0-beta.0,8,8,6,6,6,6,7
130,camemis_ministry-dashboard-web:f304efe5,73,73,34,34,122,73,78
131,w3io_w3-runtime:fd97f250b78da05a9811ac997fdb46bfcc08faac,71,71,71,71,71,71,72
